"",ENGLISH COMPOSITION (9 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",ENGL 1150,Composition I,,,
"",ENGL 1160,Composition II,,,
"",CIST 3000,Adv Comp for IS&T,,,
"",Remaining:9Compl:0,,,,
"",MATHEMATICS (3 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",MATH 1310 or test out,,,,
"",Remaining:Compl:0,,,,
"",PUBLIC SPEAKING (3 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",CMST 1110,Public Speaking,,,
"",CMST 2120,-OR- Debate,,,
"",Remaining:3Compl:0,,,,
"",HUMANITIES (9 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",CIST 3110,IT Ethics,*,*,
"",,,,,
"",,,,,
"",Remaining:6Compl:0,,,,
"",SOCIAL SCIENCE (9 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",CIST 2100,"Orgs, Apps & Tech",*,*,
"",ITIN 1010,Activating Innov. in Societ,*,*,
"",,,,,
"",Remaining:3Compl:0,,,,
"",NATURAL/PHYSICAL SCIENCE (7 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",,,,,
"",,,,,
"",,,,,
"",Include 2 different areas; 1 with a lab,,,,
"",Remaining:7Compl:0,,,,
"",GLOBAL DIVERSITY COURSE (3 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",IASC 1100,Intro to Info Security,*,*,
"",Remaining:3Compl:0,,,,
"",US DIVERSITY COURSE (3 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",,,,,
Remaining:3Compl:0,,,,,
IT Innovation Curriculum Requirements,,,,
IS&T CORE COURSES (48 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
ITIN 1010,Activating Innovation in Society,,,
ITIN 1110,Intro to IT Innovation,,,
IASC 1100,Intro to Info Security,,,
CIST 1400,Intro to Comp Prgrm,,,
CIST 1404*(opt),Intro to Comp Prgrm Lab,,,
CSCI 1620,Intro to Comp Science II,,,
CIST 2100,"Orgs, Apps & Technology",,,
ITIN 2220,Applied IT Innovation,,,Spring only
CSCI 2240,Intro to C Programming,,,
CIST 2500,Intro to Applied Stats for IT,,,
ITIN 2990,ITIN Symposium (3 hours),,,
CIST 3110,IT Ethics,,,
ITIN 3330,Product  Dsgn & Development,,,Fall only
ISQA 3310,Managing the DB Env,,,
ITIN 4440,Agile Development Methods,,,Spring only
ITIN 4980,ITIN Capstone Project Pt I,,,Fall only
ITIN 4990,ITIN Capstone Project Pt II,,,Spring only
"* Optional",,,,
Remaining:48Compl:0,,,,
MATHEMATICS COURSES (6-8 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
MATH 1930,Calc for Mgr/Life/Soc Sci,,prereq: MATH 1320 A,
MATH 1950,-OR- Calculus I,,,
MATH 2030,Discrete Math,,,
"Remaining:6Compl:0",,,,
ELECTIVE COURSES (2-5 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CSCI 1200*,Comp Science Principles,,,* If not
CIST 1300*,Or Intro to Web Dev,,,waived
CIST 1940*,Or Intro to Functional Pgm,,,Fall only
"",,,,
"",,,,
"",,,,
"",,,,
"* If not waived",,,,
Remaining:5Compl:0,,,,
AREA OF EMPHASIS COURSES (33 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
"",,,,
UPC approval is required prior to enrollment.,,,,
Remaining:33Compl:0,,,,
