ENGLISH COMPOSITION (9 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
ENGL 1150,Composition I,,,
ENGL 1160,Composition II,,,
CIST 3000,Adv Comp for IS&T,,,
Remaining:9Compl:0,,,,
MATHEMATICS (3 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
MATH 1310 or test out,,,,
Remaining:3Compl:0,,,,
PUBLIC SPEAKING (3 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CMST 1110,Public Speaking,,,
CMST 2120,-OR- Debate,,,
Remaining:3Compl:0,,,,
HUMANITIES (9 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CIST 3110,IT Ethics,*,*,
"",,,,
"",,,,
Remaining:6Compl:0,,,,
SOCIAL SCIENCE (9 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
"",,,,
"",,,,
"",,,,
Remaining:9Compl:0,,,,
NATURAL/PHYSICAL SCIENCE (7 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
BIOI 1000,Intro to BIOI,*,*,
CHEM 1180,General Chem,*,*,
CHEM 1184,Lab,*,*,
Include 2 different areas; 1 with a lab,,,,
Remaining:0Compl:0,,,,
GLOBAL DIVERSITY COURSE (3 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
"",,,,
US DIVERSITY COURSE (3 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
"",,,,
Remaining:6Compl:0,,,,
IS&T CORE COURSES (24 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CIST 1400,Intro to Comp Prgrm,,,
CSCI 1620,Intro to Comp Science II,,,
CIST 2500,Intro to Applied Stats for IST,,,
CIST 3110,IT Ethics,,,
CSCI 3320,Data Structures,,,
CSCI 4830,Intro to SW Engineering,,,
CSCI 4850,Database Mgmt Systems,,,
CSCI 4150**,Graph Theory & Appl -OR-,,,
ISQA/CSCI 4890*,Data Warehouse & Mining,,,
Remaining:24Compl:0,,,,
MATHEMATICS COURSES (11 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
MATH 1950,Calculus I,,,
CSCI/MATH 2030  Math Found of CS,,,,
ISQA 4150         Adv Statistical Methods,,,Fall only,
"",,,,
Remaining:11Compl:0,,,,
BIOLOGY COURSES (16 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
BIOL 1450,Biology I,,,
BIOL 2140,Genetics,,,
BIOL 3020,Molecular Biology,,,
BIOL 4130,Molecular Genetics - OR -,,,
BIOL 4140**,Cellular Biology,,,
Remaining:16Compl:0,,,,
CHEMISTRY COURSES (17 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CHEM 1180,General Chemistry I,,,
CHEM 1184,General Chemistry I Lab,,,
CHEM 1190,General Chemistry II,,,
CHEM 1194,General Chemistry II Lab,,,
CHEM 2210,Fund of Organic Chem,,,
CHEM 2214,Fund of Organic Chemistry Lab,,,
CHEM 3650,Fund of Biochemistry,,,
CHEM 3654,Biochemistry Lab,,,
Remaining:17Compl:0,,,,
BIOINFORMATICS REQUIREMENTS (24 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
BIOI 1000,Intro to Bioinformatics,,,
BIOI 2000**,Foundations of Bioinformatics,,,
BIOI 3000*,Applied Bioinformatics,,,
BIOI 3500**,Adv Bioinformatics Pgmg,,,
BIOI 4860*,BIOI Algorithms,,,
BIOI 4870**,DB Search & Pattern Disc,,,
BIOI 4890,Comp Genetic Seq Analysis,,,
BIOI 4970,Sr Project in BIOI I,,,
BIOI 4980,Sr Project in BIOI II,,,
ELECTIVE COURSES (1 CREDIT HR),,,,
Course #Course NameGradeCrNotes,,,,
CSCI 1200*,Comp Science Principles,,,* If not
CIST 1300*,Or Intro to Web Dev,,,waived
CIST 1940*,Or Intro to Functional Pgm,,,Fall only
Remaining:1Compl:0,,,,
