ENGLISH COMPOSITION (9 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
ENGL 1150,Composition I,,,
ENGL 1160,Composition II,,,
CIST 3000,Adv Comp for IS&T,,,
Remaining:9Compl:0,,,,
MATHEMATICS (3 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
MATH 1310 or test out,,,,
Remaining:3Compl:0,,,,
PUBLIC SPEAKING (3 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CMST 1110,Public Speaking,,,
CMST 2120,-OR- Debate,,,
Remaining:3Compl:0,,,,
HUMANITIES (9 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CIST 3110,IT Ethics,*,*,
"",,,,
"",,,,
Remaining:6Compl:0,,,,
SOCIAL SCIENCE (9 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
CIST 2100,"Orgs, Apps & Tech",*,*,
ECON 2200,Microeconomics,*,*,
ECON 2220,Macroeconomics,*,*,
Remaining:0Compl:0,,,,
NATURAL/PHYSICAL SCIENCE (7 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
"",,,,
"",,,,
"",Lab,,,
Include 2 different areas; 1 with a lab,,,,
Remaining:7Compl:0,,,,
GLOBAL DIVERSITY COURSE (3 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
ISQA 3420,Mng Digital World,*,*,
US DIVERSITY COURSE (3 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
"",,,,
Remaining:3Compl:0,,,,
IS&T CORE COURSES (21 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
IASC 1100,Intro to Information Security,,,
CIST 1300,Intro to Web Developmnt,,,
CIST 1400,Intro to Comp Prgrmng,,,
CIST 1404 Opt,Intro to Comp Prgrmng Lab,,,
CSCI 1620,Intro to Comp Science II,,,
CIST 2100,"Orgs, Apps & Technology",,,
CIST 2500,Intro to Applied Statistics,,,
CIST 3110,IT Ethics,,,
Remaining:21Compl:0,,,,
MATHEMATICS COURSES (6 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
MATH 1930,Calc for Mgmt/Life/Soc Sci,,,
CSCI 2030 or M,Ma th Found of CS,,,
Remaining:6Compl:0,,,,
CO-REQ TOPIC COURSES (15 CREDIT HRS) C or better grade req.,,,,
Course #Course NameGradeCrNotes,,,,
ACCT 2010,Principles of Accounting I,,,
ACCT 2020,Principles of Accounting II,,,
ECON 2200,Microeconomics,,,
ECON 2220,Macroeconomics,,,
ACCT 3080,Accounting Info Sys         OR,,,
ECON 3200,Microeconomic Theory    OR,,,
ECON 3220,Macroeconomic Theory   OR,,,
FNBK 3250,Princ of Financial Mgmt  OR,,,
MGMT 3510,Human Resource Mgmt  OR,,,
MGMT 3710,Entrepreneurial Fndtns    OR,,,
MGMT 4090,Princ of Collaboration      OR,,,
MRKT 3310,Principles of Marketing,,,
Remaining:15Compl:0,,,,
SPECIALIZATION COURSES (12 CREDIT HRS),,,,
Course #Course NameGradeCrNotes,,,,
"",,,,
"",,,,
"",,,,
"",,,,
Upper Division Courses Only,,,,
"",MIS CORE COURSES (21 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",ISQA 3300,File Structures,,,
"",ISQA 3310,Mng the DB Environment,,,
"",ISQA 3400,Business Data Comm,,,
"",ISQA 3420,Mng in a Digital World,,,
"",ISQA 3910,Intro to Project Mgmt,,,
"",ISQA 4110,Info Systems Analysis,,,Fall/Summer
"",ISQA 4120,Sys Design and Implement,,Spring/Summe,
"",Remaining:21Compl:0,,,,
"",ELECTIVE COURSES (20 CREDIT HRS),,,,
"",Course #Course NameGradeCrNotes,,,,
"",,,,,
"",,,,,
"",,,,,
"",,,,,
"",,,,,
"",,,,,
"",,,,,
